"Assembly ID","Base Catalog Number","Illumina Sample Filename","ONT Sample Filename"
"4d8b13ad6b1e4a13","11635","ILM3_2019AU07_11635D-5.fastq.gz","ONG2_2019AR03_11635D-5.fastq.gz"
"4d8346b260374dfb","BAA-3091","ILM3_2020BQ05_BAA-3091.fastq.gz","ONG2_2020AI02_BAA-3091.fastq.gz"
"4d6f5aadfcf042bb","BAA-1608","ILM3_2019CK06_BAA-1608D-5.fastq.gz","ONG2_2019EG04_BAA-1608D-5.fastq.gz"
"4d63c3254b504d8a","BAA-477","ILM3_2019AE05_BAA-477D-5.fastq","ONM2_2019AB01_BAA-477D-5.fastq.gz"
"4d5c483942784274","33679","ILM3_2018AD09_33679.fastq.gz","ONG1_2018AK11_33679.fastq.gz"
"4d58e6947acd4a89","VR-1540","ILM2_2019AE02_VR-1540D.fastq.gz",""
"4d4bb34853044f94","VR-12","ILM3_2020CP05_VR-12D.fastq.gz",""
"4d07b890a7214aa9","VR-824","ILM2_2019AF01_VR-824DQ.fastq.gz",""
"4d0739d753b64b52","27556","ILM3_2019AT05_27556D-5.fastq.gz","ONG2_2019BD04_27556D-5.fastq.gz"
"4d03b3f454ef46bb","BAA-1506","ILM3_2019CP06_BAA-1506D-5.fastq.gz","ONG2_2019EM04-BAA-1506D-5.fastq.gz"
"4cfdba974ff0441c","BAA-3105","ILM3_2020AG05_BAA-3105.fastq.gz","ONG2_2020AM03_BAA-3105.fastq.gz"
"4c8a7119133a4be0","29133","ILM3_2019AT07_29133D-5.fastq.gz","ONG2_2019BE01_29133D-5.fastq.gz"
"4c7a8cf489534c3f","35668","ILN1_2021AB05_35668.fastq.gz","ONG3_2021AC05_35668.fastq.gz"
"4c288b634e5945fc","VR-1819","ILM3_2020AV07_VR-1819.fastq.gz",""
"4c269002a6984ca7","700278","ILM3_2019BA06_700278D-5.fastq.gz","ONG2_2019AX02_700278D-5.fastq.gz"
"4b7249b30fc34da6","VR-105","ILM3_2020AX05_VR-105.fastq.gz",""
"4b70a9a584d54e8d","49051","ILM3_2019CJ02_49051DX.fastq.gz","ONG2_2019DW06_49051DX.fastq.gz"
"4b5ffd630d224c84","15700","ILM3_2018AK05_15700D-5.fastq.gz","ONG2_2019AN02_15700D-5.fastq.gz"
"4b5bbe2f83114e40","BAA-895","ILM3_2019BJ09_BAA-895D-5.fastq.gz","ONG2_2019CT01_BAA-895D-5.fastq.gz"
"4b50c9bcd6524233","12872","ILM3_2018AF03_12872.fastq.gz","ONG1_2019AN04_12872.fastq.gz"
"4b4423fd27364fb9","BAA-1061","ILM3_2019BH05_BAA-1061D-5.fastq.gz","ONG2_2019CN04_BAA-1061D-5.fastq.gz"
"4b413010fbbe4ce9","BAA-2846","ILM3_2020BM09_BAA-2846.fastq.gz","ONG3_2020AR04_BAA-2846.fastq.gz"
"4b324ab641f9463c","35105","ILM3_2019CB07_35105D-5.fastq","ONG2_2019DS02_35105D-5.fastq.gz"
"4b2140f9469d46ba","BAA-1088","ILM2_2019AK11_BAA-1088D-5.fastq.gz","ONG2_2019DV03_BAA-1088D-5.fastq.gz"
"4b18e49b62eb4a67","BAA-3087","ILM3_2020AJ08_BAA-3087.fastq.gz","ONG2_2020AQ04_BAA-3087.fastq.gz"
"4b00201f062c4d36","BAA-679","ILM3_2019AZ06_BAA-679D-5.fastq.gz","ONG2_2019BA01_BAA-679D-5.fastq.gz"
"4acdda355fa54c5e","15444","ILM3_2019BM05_15444D-5.fastq.gz","ONG2_2019DE01_15444D-5.fastq.gz"
"4a982116484a47b0","10240","ILN1_2021AC47_10240.fastq.gz","ONG3_2021AV04_10240.fastq.gz"
"4a841fc20d3b46b7","VR-1823","ILM3_2020CS04_VR-1823D.fastq.gz",""
"4a6fbf022902474f","35913","ILM3_2020BS11_35913.fastq.gz","ONG3_2020BT02_35913.fastq.gz"
"4a5a3ab5d5c54b67","VR-1885","ILM3_2020BB05_VR-1885DQ.fastq.gz",""
"4a0ea9cad6904345","BAA-661","ILN1_2021AC38_BAA-661.fastq.gz","ONG3_2021AT03_BAA-661.fastq.gz"
"49fc8aa5074a42d1","29133","ILM3_2020AB05_29133D-5.fastq.gz","ONG2_2019BE01_29133D-5.fastq.gz"
"49f64adf3c854798","BAA-830","ILM3_2020AE08_BAA-830DX.fastq.gz","ONG2_2019EW03_BAA-830DX.fastq.gz"
