Item Number,GCF,Illumina Filename,ONT Filename
25285,GCF_000025985.1,ILM3_2020AB03_25285D-5.fastq.gz,ONG2_2019AO01_25285D-5.fastq.gz
13880,GCF_017298815.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298975.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
35702,GCF_000767745.1,ILM3_2020AO11_35702D-5.fastq.gz,ONG2_2020BB02_35702D-5.fastq.gz
13880,GCF_017298695.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298835.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017299275.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017299535.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
12600,GCF_006094915.1,ILM3_2019CH03_12600DX.fastq.gz,ONG2_2019DW07_12600DX.fastq.gz
13880,GCF_017298855.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
BAA-1060,GCF_000019205.1,ILM3_2019BA09_BAA-1060D-5.fastq.gz,ONG2_2019AX05_BAA-1060D-5.fastq.gz
13880,GCF_017298755.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298775.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017298875.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017299015.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017301275.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
13880,GCF_017301315.1,ILN1_2021AC02_13880.fastq.gz,ONG3_2021AN05_13880.fastq.gz
25745,GCF_000014505.1,ILM3_2019BR08_25745D-5.fastq.gz,ONG2_2019DB02_25745D-5.fastq.gz
